project,repository,description,last activity,selected 
gerrit,permissions/richbeans-dev.git,,5 days,0
gerrit,permissions/scanning-dev.git,,3 months,0
gerrit,permissions/scout-dev.git,,8 months,0
gerrit,permissions/servertools-dev.git,[no description],9 months,0
gerrit,permissions/simopenpass-dev.git,,6 weeks,0
gerrit,permissions/simrel-dev.git,[no description],16 months,0
gerrit,permissions/stardust-dev.git,[no description],12 days,0
gerrit,permissions/statet-dev.git,,5 days,0
gerrit,permissions/subversive-dev.git,,14 months,0
gerrit,permissions/sw360-dev.git,,3 months,0
gerrit,permissions/swt-dev.git,[no description],11 months,0
gerrit,permissions/technology.cbi.git,Permissions for CBI Project,11 months,0
gerrit,permissions/technology.dltk.git,,18 months,0
gerrit,permissions/technology.ease.git,[no description],2 years,0
gerrit,permissions/technology.m2e.m2e-wtp.git,[no description],2 years,0
gerrit,permissions/tiaki-dev.git,,15 months,0
gerrit,permissions/tinydtls-dev.git,,8 months,0
gerrit,permissions/tm-dev.git,[no description],20 months,0
gerrit,permissions/tools.tracecompass.git,,17 months,0
gerrit,permissions/triquetrum-dev.git,,5 days,0
gerrit,permissions/unide-dev.git,,3 months,0
gerrit,permissions/uomo-dev.git,[no description],12 months,0
gerrit,permissions/usssdk-dev.git,,3 months,0
gerrit,permissions/vorto.git,,23 months,0
gerrit,permissions/webmaster-dev.git,,15 months,0
gerrit,permissions/webmastertest-dev.git,,7 months,0
gerrit,permissions/webservices.git,[no description],16 months,0
gerrit,permissions/webtools-dev.git,[no description],8 months,0
gerrit,permissions/webtools.releng-dev.git,[no description],14 months,0
gerrit,permissions/webtools.sourceediting-dev.git,[no description],13 months,0
gerrit,permissions/whiskers-dev.git,,7 months,0
gerrit,permissions/windowbuilder.git,,2 years,0
gerrit,permissions/www-auth.git,[no description],3 years,0
gerrit,permissions/xsd-dev.git,[no description],12 months,0
gerrit,permissions/xwt.git,[no description],16 months,0
gerrit,permissions/yasson-dev.git,,4 weeks,0
gerrit,planeteclipse.org/planeteclipse.org.git,planeteclipse.org website repository.,42 hours,0
gerrit,platform/eclipse.platform.common.git,Eclipse Platform Common,5 days,0
gerrit,platform/eclipse.platform.debug.git,Eclipse Platform Debug,29 hours,0
gerrit,platform/eclipse.platform.git,Eclipse Platform,5 days,0
gerrit,platform/eclipse.platform.images.git,Eclipse Platform Images,5 days,0
gerrit,platform/eclipse.platform.news.git,This repository is obsolete.,2 years,0
gerrit,platform/eclipse.platform.releng.aggregator.git,Eclipse Platform Aggregator,68 min.,0
gerrit,platform/eclipse.platform.releng.basebuilder.git,This repository is obsolete.,2 years,0
gerrit,platform/eclipse.platform.releng.buildtools.git,Eclipse Platform Build Tools,3 weeks,0
gerrit,platform/eclipse.platform.releng.eclipsebuilder.git,Eclipse Platform EclipseBuilder,2 years,0
gerrit,platform/eclipse.platform.releng.git,Eclipse Platform Releng,74 min.,0
gerrit,platform/eclipse.platform.releng.maps.git,Eclipse Releng map files,2 years,0
gerrit,platform/eclipse.platform.resources.git,Eclipse Platform Resources,5 days,0
gerrit,platform/eclipse.platform.runtime.git,Eclipse Platform Runtime,5 days,0
gerrit,platform/eclipse.platform.swt.binaries.git,Eclipse Platform SWT Binaries,14 hours,0
gerrit,platform/eclipse.platform.swt.git,Eclipse Platform SWT,40 min.,0
gerrit,platform/eclipse.platform.team.git,Eclipse Platform Team,5 days,0
gerrit,platform/eclipse.platform.text.git,Eclipse Platform Text,5 days,0
gerrit,platform/eclipse.platform.ua.git,Eclipse Platform UA,5 days,0
gerrit,platform/eclipse.platform.ui.git,Platform UI Git repository,24 hours,0
gerrit,platform/eclipse.platform.ui.tools.git,Eclipse Platform UI Tools,5 days,0
gerrit,pmf/org.eclipse.pmf.git,"Unnamed repository, edit this file 'description' to name the repository.",7 months,0
gerrit,ptp/org.eclipse.photran.git,,5 days,0
gerrit,ptp/org.eclipse.ptp.doc.git,,3 years,0
gerrit,ptp/org.eclipse.ptp.git,,5 days,0
gerrit,ptp/org.eclipse.ptp.master.git,,5 days,0
gerrit,ptp/org.eclipse.remote.git,ptp project repository,5 days,0
gerrit,r4e/org.eclipse.mylyn.reviews.r4e.git,r4e project repository,24 months,0
gerrit,rap/incubator/org.eclipse.rap.incubator.chart.git,,5 months,0
gerrit,rap/incubator/org.eclipse.rap.incubator.e4.git,,3 weeks,0
gerrit,rap/incubator/org.eclipse.rap.incubator.osgi-packaging.git,,17 months,0
gerrit,rap/incubator/org.eclipse.rap.incubator.releng.git,,6 months,0
gerrit,rap/incubator/org.eclipse.rap.incubator.richtext.git,,12 months,0
gerrit,rap/org.eclipse.rap.git,RAP itself,28 hours,0
gerrit,rap/org.eclipse.rap.tools.git,RAP Tools for Eclipse IDE,28 hours,0
gerrit,rcptt/org.eclipse.rcptt.git,rcptt project repository,5 days,0
gerrit,rcptt/org.eclipse.rcptt.git.back,rcptt project repository,2 years,0
gerrit,rcptt/org.eclipse.rcptt.mockups.git,"Unnamed repository, edit this file 'description' to name the repository.",2 years,0
gerrit,rdf4j/org.eclipse.rdf4j.git,"Unnamed repository, edit this file 'description' to name the repository.",18 months,0
gerrit,recommenders.incubator/org.eclipse.recommenders.args.git,recommenders.incubator project repository,3 years,0
gerrit,recommenders.incubator/org.eclipse.recommenders.codesearch.git,recommenders.incubator project repository,2 years,0
gerrit,recommenders.incubator/org.eclipse.recommenders.livedoc.git,,2 years,0
gerrit,recommenders.incubator/org.eclipse.recommenders.logging.git,[no description],2 years,0
gerrit,recommenders.incubator/org.eclipse.recommenders.privacy.git,recommenders.incubator project repository,3 weeks,0
gerrit,recommenders.incubator/org.eclipse.recommenders.snipmatch.git,,12 days,0
gerrit,recommenders.incubator/org.eclipse.recommenders.snipmatch.snippets.git,,3 years,0
gerrit,recommenders.incubator/org.eclipse.recommenders.stats.git,,4 weeks,0
gerrit,recommenders/org.eclipse.recommenders.git,Eclipse Code Recommenders,5 days,0
gerrit,recommenders/org.eclipse.recommenders.snipmatch.snippets.git,[no description],7 months,0
gerrit,richbeans/richbeans.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
gerrit,rmf/org.eclipse.rmf.documentation.git,rmf project repository,5 weeks,0
gerrit,rmf/org.eclipse.rmf.git,Requirements Modeling Framework (RMF) Repository (http://eclipse.org/rmf),3 weeks,0
gerrit,sandbox/egit-training.git,Example repository used for Git tutorials,2 weeks,0
gerrit,scanning/org.eclipse.scanning.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,scout/maven-master.git,,5 days,0
gerrit,scout/oomph.git,"Unnamed repository, edit this file 'description' to name the repository.",5 weeks,0
gerrit,scout/org.eclipse.scout-aggregator.git,Scout Aggregator,4 months,0
gerrit,scout/org.eclipse.scout.rt.git,Scout RT,5 days,0
gerrit,scout/org.eclipse.scout.sdk.git,Scout,5 days,0
gerrit,scout/scout.rt.incubator.git,Scout RT Incubator,4 months,0
gerrit,servertools/webtools.servertools.devsupport.git,servertools project repository,8 months,0
gerrit,servertools/webtools.servertools.docs.git,servertools project repository,2 months,0
gerrit,servertools/webtools.servertools.git,servertools project repository,4 weeks,0
gerrit,servertools/webtools.servertools.tests.git,servertools project repository,2 months,0
gerrit,simopenpass/simopenpass.git,"Unnamed repository, edit this file 'description' to name the repository.",6 weeks,0
gerrit,simrel/org.eclipse.simrel.build.git,,36 min.,0
gerrit,simrel/org.eclipse.simrel.oldcvssimrelprojects.git,,19 months,0
gerrit,simrel/org.eclipse.simrel.tools.git,,3 days,0
gerrit,sirius/org.eclipse.sirius.git,Sirius,29 hours,0
gerrit,sirius/org.eclipse.sirius.legacy.git,Sirius Legacy,19 months,0
gerrit,sisu/org.eclipse.sisu.inject.git,Sisu: @Inject support,3 months,0
gerrit,sisu/org.eclipse.sisu.mojos.git,Sisu: Maven mojos,10 months,0
gerrit,sisu/org.eclipse.sisu.plexus.git,Sisu: Plexus support,4 months,0
gerrit,skalli/org.eclipse.skalli.git,Skalli,46 hours,0
gerrit,sourceediting/webtools.sourceediting.git,sourceediting project repository,12 days,0
gerrit,sourceediting/webtools.sourceediting.xpath.git,sourceediting project repository,12 months,0
gerrit,sourceediting/webtools.sourceediting.xpath.tests.git,sourceediting project repository,12 months,0
gerrit,sourceediting/webtools.sourceediting.xsl.git,sourceediting project repository,12 months,0
gerrit,sourceediting/webtools.sourceediting.xsl.tests.git,sourceediting project repository,12 months,0
gerrit,stardust/all.git,All from stardust in workspace,3 years,0
gerrit,stardust/org.eclipse.stardust.build.tools.git,/stardust/build.tools (excludes folder /bin AS LONG AS CONTAINED JARs ARE NOT AP...,5 days,0
gerrit,stardust/org.eclipse.stardust.components.git,/stardust/components/,5 days,0
gerrit,stardust/org.eclipse.stardust.deploy.jee.git,stardust project repository,5 days,0
gerrit,stardust/org.eclipse.stardust.documentation.git,/stardust/documentation/,5 days,0
gerrit,stardust/org.eclipse.stardust.engine.git,/stardust/engine/,5 days,0
gerrit,stardust/org.eclipse.stardust.examples.git,stardust project repository,5 days,0
gerrit,stardust/org.eclipse.stardust.git,/stardust/org.eclipse.stardust/,5 days,0
gerrit,stardust/org.eclipse.stardust.ide.git,stardust project repository,5 days,0
gerrit,stardust/org.eclipse.stardust.ide.simulation.git,stardust project repository,5 days,0
gerrit,stardust/org.eclipse.stardust.ide.wst.git,/stardust/ide.wst/,5 days,0
gerrit,stardust/org.eclipse.stardust.product.git,/stardust/product/,5 days,0
gerrit,stardust/org.eclipse.stardust.reporting.app.web.git,/stardust/reporting.app.web/,12 days,0
gerrit,stardust/org.eclipse.stardust.reporting.rt.git,stardust project repository,5 days,0
gerrit,stardust/org.eclipse.stardust.reporting.ui.git,stardust project repository,12 days,0
gerrit,stardust/org.eclipse.stardust.repository.git,/stardust/repository/,5 days,0
gerrit,stardust/org.eclipse.stardust.ui.common.git,/stardust/ui.common/,5 days,0
gerrit,stardust/org.eclipse.stardust.ui.web.git,/stardust/ui.web/,5 days,0
gerrit,statet/org.eclipse.statet.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,0
gerrit,stem/org.eclipse.stem.data.earthscience.git,STEM Earth Science denominator data, including 10 years of temperature, rainfall...,3 years,0
gerrit,stem/org.eclipse.stem.data.git,STEM denominator data, including administrative boundaries and human population ...,13 months,0
gerrit,stem/org.eclipse.stem.git,Spatiotemporal Epidemiological Modeler (STEM) core repository. Includes epidemi...,4 months,0
gerrit,sw360/org.eclipse.sw360.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,swtbot/org.eclipse.swtbot.git,SWTBot Code repository,3 weeks,0
gerrit,tcf/org.eclipse.tcf.agent.git,Target Communication Framework (TCF) C agent repo.,3 weeks,0
gerrit,tcf/org.eclipse.tcf.git,Target Communication Framework (TCF) main repo.,12 days,0
gerrit,tinydtls/org.eclipse.tinydtls.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,0
gerrit,tm/org.eclipse.tm.git,Target Management,7 weeks,0
gerrit,tm/org.eclipse.tm.terminal.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,0
gerrit,tracecompass/org.eclipse.tracecompass.git,Trace Compass,19 hours,0
gerrit,tycho/org.eclipse.tycho-demo.git,Tycho demos,3 months,0
gerrit,tycho/org.eclipse.tycho.extras.git,Tycho Extras,5 weeks,0
gerrit,tycho/org.eclipse.tycho.git,Tycho,28 hours,0
gerrit,tycho/org.eclipse.tycho.nexus.git,Nexus,23 months,0
gerrit,tycho/org.eclipse.tycho.targeteditor.git,Target editor extensions,3 years,0
gerrit,umlgen/org.eclipse.umlgen.git,Eclipse UML Generators,5 months,0
gerrit,unide/org.eclipse.unide.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,uomo/org.eclipse.uomo.git,Eclipse UOMo repository,12 months,0
gerrit,usssdk/org.eclipse.usssdk.git,"Unnamed repository, edit this file 'description' to name the repository.",4 days,0
gerrit,viatra/org.eclipse.viatra.examples.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,0
gerrit,viatra/org.eclipse.viatra.git,VIATRA (VIsual Automated model TRAnsformations),5 days,0
gerrit,viatra/org.eclipse.viatra.modelobfuscator.git,[no description],3 weeks,0
gerrit,viatra/org.eclipse.viatra2.vpm.git,VIATRA VPM,22 months,0
gerrit,vorto/org.eclipse.vorto.git,Vorto project git repository,23 months,0
gerrit,webservices/webtools.webservices.axis2.git,webservices project repository,6 months,0
gerrit,webservices/webtools.webservices.git,webservices project repository,46 hours,0
gerrit,webservices/webtools.webservices.jaxws.git,webservices project repository,6 months,0
gerrit,websites/dev.eclipse.org.git,dev.eclipse.org website,5 days,0
gerrit,websites/events.eclipse.org.git,events.eclipse.org website,4 weeks,0
gerrit,webtools/webtools.releng.aggregator.git,webtools project repository,12 days,0
gerrit,webtools/webtools.releng.git,webtools project repository,5 months,0
gerrit,windowbuilder/org.eclipse.windowbuilder.git,tools.windowbuilder project repository,7 weeks,0
gerrit,www.eclipse.org/10years.git,The 10 years of Eclipse Birthday party.,2 years,0
gerrit,www.eclipse.org/agail.git,"Unnamed repository, edit this file 'description' to name the repository.",3 weeks,0
gerrit,www.eclipse.org/app4mc.git,technology.app4mc project website,5 weeks,0
gerrit,www.eclipse.org/arch.git,www.eclipse.org project repository,22 months,0
gerrit,www.eclipse.org/articles.git,The Eclipse Corner Articles web directory (/articles),8 weeks,0
gerrit,www.eclipse.org/artwork.git,Eclipse logos and other artwork.,3 years,0
gerrit,www.eclipse.org/callisto.git,www.eclipse.org project repository,14 months,0
gerrit,www.eclipse.org/capra.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
gerrit,www.eclipse.org/cbi.git,www.eclipse.org project repository,11 months,0
gerrit,www.eclipse.org/cft.git,"Unnamed repository, edit this file 'description' to name the repository.",5 weeks,0
gerrit,www.eclipse.org/collections.git,"Unnamed repository, edit this file 'description' to name the repository.",9 weeks,0
gerrit,www.eclipse.org/committers.git,www-auth project website,8 months,0
gerrit,www.eclipse.org/community.git,www-auth project website,5 hours,0
gerrit,www.eclipse.org/contribute.git,www-auth project website,6 months,0
gerrit,www.eclipse.org/corporate_sponsors.git,www-auth project website,7 months,0
gerrit,www.eclipse.org/documentation.git,www-auth project website,6 months,0
gerrit,www.eclipse.org/donate.git,www-auth project website,4 weeks,0
gerrit,www.eclipse.org/downloads.git,Eclipse.org/downloads website,22 hours,0
gerrit,www.eclipse.org/eavp.git,"Unnamed repository, edit this file 'description' to name the repository.",12 months,0
gerrit,www.eclipse.org/ecd.git,ECD top-level project website repository,7 months,0
gerrit,www.eclipse.org/eclemma.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
gerrit,www.eclipse.org/eclipse.git,Eclipse top-level project website,5 days,0
gerrit,www.eclipse.org/eclipse.org-common.git,Eclipse.org/common website,5 days,0
gerrit,www.eclipse.org/eclipse/news.git,Eclipse Platform, JDT, and PDE N&N files,25 hours,0
gerrit,www.eclipse.org/eclipse4.git,www-auth project website,24 months,0
gerrit,www.eclipse.org/edje.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
gerrit,www.eclipse.org/efm.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
gerrit,www.eclipse.org/egit.git,Eclipse.org/egit website,3 months,0
gerrit,www.eclipse.org/elk.git,"Unnamed repository, edit this file 'description' to name the repository.",8 weeks,0
gerrit,www.eclipse.org/equinox.git,,9 months,0
gerrit,www.eclipse.org/errors.git,www-auth project website,5 days,0
gerrit,www.eclipse.org/europa.git,www.eclipse.org project repository,14 months,0
gerrit,www.eclipse.org/franca.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
gerrit,www.eclipse.org/friends.git,www-auth project website,3 years,0
gerrit,www.eclipse.org/galileo.git,www.eclipse.org project repository,14 months,0
gerrit,www.eclipse.org/ganymede.git,www.eclipse.org project repository,14 months,0
gerrit,www.eclipse.org/gendoc.git,www.eclipse.org project repository,12 days,0
gerrit,www.eclipse.org/geoperil.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,www.eclipse.org/go.git,www-auth project website,9 months,0
gerrit,www.eclipse.org/golo.git,"Unnamed repository, edit this file 'description' to name the repository.",18 months,0
gerrit,www.eclipse.org/graphiti.git,modeling.gmp.graphiti project website,4 weeks,0
gerrit,www.eclipse.org/gyrex.git,www.eclipse.org project repository,17 months,0
gerrit,www.eclipse.org/hawkbit.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,0
gerrit,www.eclipse.org/helios.git,www.eclipse.org project repository,14 months,0
gerrit,www.eclipse.org/home.git,Eclipse.org/home website,12 days,0
gerrit,www.eclipse.org/hono.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,0
gerrit,www.eclipse.org/ice.git,www.eclipse.org project repository,8 weeks,0
gerrit,www.eclipse.org/ide.git,Eclipse.org/IDE website,13 months,0
gerrit,www.eclipse.org/ignite.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,www.eclipse.org/images.git,www-auth project website,5 months,0
gerrit,www.eclipse.org/indigo.git,www.eclipse.org project repository,14 months,0
gerrit,www.eclipse.org/iofog.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,www.eclipse.org/january.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
gerrit,www.eclipse.org/jdt.git,,5 days,0
gerrit,www.eclipse.org/jdtls.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,www.eclipse.org/jgit.git,Eclipse.org/jgit website,2 months,0
gerrit,www.eclipse.org/juno.git,www-auth project website,14 months,0
gerrit,www.eclipse.org/kapua.git,"Unnamed repository, edit this file 'description' to name the repository.",8 weeks,0
gerrit,www.eclipse.org/kepler.git,www.eclipse.org project repository,14 months,0
gerrit,www.eclipse.org/kura.git,www.eclipse.org project repository,5 weeks,0
gerrit,www.eclipse.org/legal.git,www-auth project website,5 days,0
gerrit,www.eclipse.org/licenses.git,www-auth project website,2 years,0
gerrit,www.eclipse.org/lsp4e.git,"Unnamed repository, edit this file 'description' to name the repository.",4 weeks,0
gerrit,www.eclipse.org/lsp4j.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,www.eclipse.org/luna.git,www.eclipse.org project repository,6 months,0
gerrit,www.eclipse.org/mail.git,Mailing lists,19 months,0
gerrit,www.eclipse.org/mars.git,"Unnamed repository, edit this file 'description' to name the repository.",6 months,0
gerrit,www.eclipse.org/mdht.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
gerrit,www.eclipse.org/mdmbl.git,"Unnamed repository, edit this file 'description' to name the repository.",17 months,0
gerrit,www.eclipse.org/membership.git,Eclipse.org/membership website,2 days,0
gerrit,www.eclipse.org/milo.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
gerrit,www.eclipse.org/mobile.git,www.eclipse.org project repository,2 years,0
gerrit,www.eclipse.org/mylyn.git,Eclipse.org/Mylyn website,12 days,0
gerrit,www.eclipse.org/neon.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,0
gerrit,www.eclipse.org/newsgroups.git,Newsgroups and forums:,2 years,0
gerrit,www.eclipse.org/omr.git,"Unnamed repository, edit this file 'description' to name the repository.",3 weeks,0
gerrit,www.eclipse.org/org.git,www.eclipse.org project repository,5 days,0
gerrit,www.eclipse.org/osbp.git,"Unnamed repository, edit this file 'description' to name the repository.",7 months,0
gerrit,www.eclipse.org/osee.git,OSEE website,21 months,0
gerrit,www.eclipse.org/package-drone.git,"Unnamed repository, edit this file 'description' to name the repository.",6 months,0
gerrit,www.eclipse.org/papyrus-rt.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
gerrit,www.eclipse.org/papyrus-xtuml.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,0
gerrit,www.eclipse.org/papyrus.git,modeling.mdt.papyrus project website,4 weeks,0
gerrit,www.eclipse.org/pmf.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,0
gerrit,www.eclipse.org/projects.git,Eclipse.org/projects website,18 hours,0
gerrit,www.eclipse.org/rdf4j.git,"Unnamed repository, edit this file 'description' to name the repository.",18 months,0
gerrit,www.eclipse.org/recommenders.git,Eclipse.org/Recommenders website,12 days,0
gerrit,www.eclipse.org/resources.git,www.eclipse.org project repository,3 years,0
gerrit,www.eclipse.org/richbeans.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
gerrit,www.eclipse.org/scanning.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,www.eclipse.org/screenshots.git,www-auth project website,2 years,0
gerrit,www.eclipse.org/simopenpass.git,"Unnamed repository, edit this file 'description' to name the repository.",6 weeks,0
gerrit,www.eclipse.org/statet.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,0
gerrit,www.eclipse.org/subversive.git,technology.subversive project website,3 days,0
gerrit,www.eclipse.org/sw360.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,www.eclipse.org/swt.git,,17 hours,0
gerrit,www.eclipse.org/swtbot.git,Eclipse.org/SWTBot website,13 months,0
gerrit,www.eclipse.org/technology.git,www-auth project website,7 months,0
gerrit,www.eclipse.org/tiaki.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
gerrit,www.eclipse.org/tinydtls.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
gerrit,www.eclipse.org/triquetrum.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
gerrit,www.eclipse.org/tycho.git,technology.tycho project website,4 months,0
gerrit,www.eclipse.org/unide.git,"Unnamed repository, edit this file 'description' to name the repository.",9 weeks,0
gerrit,www.eclipse.org/uomo.git,technology.uomo project website,12 months,0
gerrit,www.eclipse.org/users.git,www-auth project website,6 months,0
gerrit,www.eclipse.org/usssdk.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,0
gerrit,www.eclipse.org/webtools.git,webtools project website,4 weeks,0
gerrit,www.eclipse.org/whiskers.git,"Unnamed repository, edit this file 'description' to name the repository.",7 months,0
gerrit,www.eclipse.org/windowbuilder.git,Repository for the WindowBuilder website,4 months,0
gerrit,www.eclipse.org/yasson.git,"Unnamed repository, edit this file 'description' to name the repository.",4 weeks,0
gerrit,xsd/org.eclipse.xsd.git,xsd project repository,4 months,0
gerrit,xwt/org.eclipse.xwt.git,XWT is a powerful declarative UI in XML for Eclipse.,9 months,0
gerrit,yasson/yasson.git,"Unnamed repository, edit this file 'description' to name the repository.",4 weeks,0
gerrit,z_webmaster/infocentre.git,[no description],,0
gerrit,z_webmaster/test_matt.git,"Unnamed repository, edit this file 'description' to name the repository.",20 months,0
gerrit,z_webmaster/testdir.git,,14 months,0
gerrit,z_webmaster/testhook.git,z_webmaster project repository,3 years,0
gmf-notation,org.eclipse.gmf.notation.git,modeling.gmp.gmf-notation project repository,3 months,1
gmf-runtime,org.eclipse.gmf-runtime.git,modeling.gmp.gmf-runtime project repository,3 months,0
gmf-tooling,org.eclipse.gmf-tooling.git,gmf tooling project repository,7 months,1
gmf-tooling,org.eclipse.gmf-tooling.uml2tools.git,modeling.gmp.gmf-tooling project repository,4 years,0
gmf-tooling,org.eclipse.gmf-tooling.uml2tools.releng.git,modeling.gmp.gmf-tooling project repository,4 years,0
golo,org.eclipse.golo.git,"Unnamed repository, edit this file 'description' to name the repository.",18 months,0
graphiti,org.eclipse.graphiti.git,Graphiti,26 hours,1
gyrex,archived/addons/gyrex-jersey-jaxrs.git,Gyrex AddOn - JAX-RS HTTP Application,3 years,0
gyrex,archived/addons/gyrex-mongodb-persistence.git,Gyrex AddOn - MongoDB Persistence Provider,3 years,0
gyrex,archived/addons/gyrex-search.git,Gyrex AddOn - Solr Search Component,3 years,0
gyrex,archived/gyrex-admin.git,Gyrex admin,3 years,0
gyrex,archived/gyrex-archive.git,Gyrex - Archived Stuff,5 years,0
gyrex,archived/gyrex-platform.git,Gyrex platform,3 years,0
gyrex,archived/gyrex-releng.git,Gyrex releng,3 years,0
gyrex,examples/gyrex-bugsearch.git,,3 years,0
gyrex,examples/gyrex-fanshop.git,,3 years,0
gyrex,examples/gyrex-hello-cloud.git,,3 years,0
gyrex,forks/gyrex-gemini-jpa.git,Gemini JPA (modified),5 years,0
gyrex,forks/gyrex-javax.resource.git,java.resources (from EclipseLink SVN, unmodified),5 years,0
gyrex,forks/gyrex-org.eclipse.persistence.nosql.git,EclipseLink NoSQL (from EclipseLink SVN, unmodified),5 years,0
gyrex,gyrex-server.git,,13 months,0
handly,org.eclipse.handly.git,Handly,29 hours,1
hawkbit,hawkbit.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
henshin,org.eclipse.emft.henshin.git,modeling.emft.henshin project repository,5 days,1
hono,hono.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
hudson,org.eclipse.hudson.core.git,Hudson Core,7 months,1
hudson,org.eclipse.hudson.maven-hpi-plugin.git,Maven Plugin to create, run, and debug Hudson plugins,3 years,0
hudson,org.eclipse.hudson.remoting.git,Hudson Remoting Layer,21 months,0
hudson,org.eclipse.hudson.stapler.git,Hudson Stapler Module,13 months,0
hudson,org.eclipse.hudson.test.harness.git,Hudson Test Harness module,20 months,0
hudson,org.eclipse.hudson.test.ui.git,Hudson Selenium based UI test module,3 years,0
ignite,org.eclipse.ignite.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,1
intent,org.eclipse.mylyn.docs.intent.main.git,Intent project repository,6 months,1
iofog,org.eclipse.iofog.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,1
january,january.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,1
jdt,eclipse.jdt.core.binaries.git,Eclipse JDT Core tests (only org.eclipse.jdt.core.tests.binaries),5 days,0
jdt,eclipse.jdt.core.git,Eclipse JDT Core,19 hours,1
jdt,eclipse.jdt.debug.git,Eclipse JDT Debug,32 hours,0
jdt,eclipse.jdt.git,Eclipse JDT Features,5 days,1
jdt,eclipse.jdt.ui.git,Eclipse JDT UI,2 hours,1
jdtls,org.eclipse.jdtls.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,1
jeetools,webtools.ejb.git,ejb project repository,2 months,1
jeetools,webtools.javaee.git,jeetools project repository,2 months,0
jeetools,webtools.javaee.tests.git,jeetools project repository,17 months,0
jetty,org.eclipse.jetty.admin.git,Jetty: Administrative Files,13 months,0
jetty,org.eclipse.jetty.alpn.git,ALPN API,5 months,0
jetty,org.eclipse.jetty.npn.git,Jetty: next generation protocol (npn) repository,2 years,0
jetty,org.eclipse.jetty.orbit.git,Jetty: orbit file sync to central repository,4 years,0
jetty,org.eclipse.jetty.parent.git,Jetty: Parent Pom,13 months,0
jetty,org.eclipse.jetty.project.git,Jetty: primary project repository,3 months,1
jetty,org.eclipse.jetty.releng.bundles.git,Jetty: eclipse release bundles,5 months,0
jetty,org.eclipse.jetty.releng.products.git,Jetty: eclipse products repository,3 years,0
jetty,org.eclipse.jetty.sandbox.git,Jetty Sandbox,3 years,0
jetty,org.eclipse.jetty.toolchain.git,Jetty: toolchain/build helper repository,6 months,0
jetty,org.eclipse.jetty.website.git,"Unnamed repository, edit this file 'description' to name the repository.",,0
jetty,org.eclipse.jetty.wtp.git,Jetty WTP,3 years,0
jgit,jgit.git,Java implementation of Git (technology.jgit),28 hours,1
jsdt,jsdt-parent.git,Permissions for JSDT,3 years,0
jsdt,webtools.jsdt.core.git,JavaScript Development Tools (Core) (Archived, versions up to 3.5.x),3 years,0
jsdt,webtools.jsdt.debug.git,JavaScript Development Tools (Debug) (Archived, versions up to 3.5.x),3 years,0
jsdt,webtools.jsdt.git,JavaScript Development Tools,12 days,1
jsdt,webtools.jsdt.tests.git,JavaScript Development Tools (Tests) (Archived, versions up to 3.5.x),2 years,0
jsf,webtools.jsf.docs.git,jsf project repository,6 months,0
