project,repository,description,last activity,selected 
chemclipse,org.eclipse.chemclipse.subtractfilter.git,Mass spectrum subtraction support.,9 weeks,1
chemclipse,org.eclipse.chemclipse.sumarea.git,Chromatogram integrator (summed m/z area).,9 weeks,1
chemclipse,org.eclipse.chemclipse.utils.git,Developer utils.,2 months,1
chemclipse,org.eclipse.chemclipse.xpassmsfilter.git,High and low pass m/z filter.,9 weeks,1
chemclipse,org.eclipse.chemclipse.xyconverter.git,Import/export of xy file format (*.xy).,5 weeks,1
collections,collections.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
dali,webtools.dali.git,Dali Java Persistence Tools (JPT),2 months,1
damos,org.eclipse.damos.git,damos project repository,17 months,0
dash,org.eclipse.dash.dashboard.git,dash project repository,7 months,1
dash,org.eclipse.dash.handbook.git,Sources for the Eclipse Project Handbook,7 weeks,0
dash,org.eclipse.dash.m4e.tools.git,dash project repository,4 years,0
dash,org.eclipse.dash.maven.git,dash project repository,5 years,0
dash,org.eclipse.dash.repositories.git,Dash processes for collecting and disseminating repository data.,,0
dash,org.eclipse.dash.test.git,Test project for Dash,4 years,0
datatools,org.eclipse.datatools.build.git,Data Tools Platform Release Engineering components,7 months,0
datatools,org.eclipse.datatools.connectivity.git,Data Tools Platform Connectivity framework,9 months,0
datatools,org.eclipse.datatools.doc.git,Data Tools Platform Documentation,8 months,0
datatools,org.eclipse.datatools.enablement.general.git,Data Tools Platform Enablement for general/common components,13 months,0
datatools,org.eclipse.datatools.enablement.hsqldb.git,Data Tools Platform Enablement for HSQLDB databases,13 months,0
datatools,org.eclipse.datatools.enablement.ibm.git,Data Tools Platform Enablement for IBM databases,4 days,0
datatools,org.eclipse.datatools.enablement.ingres.git,Data Tools Platform Enablement for Ingres databases,13 months,0
datatools,org.eclipse.datatools.enablement.msft.git,Data Tools Platform Enablement for Microsoft databases,12 months,0
datatools,org.eclipse.datatools.enablement.mysql.git,Data Tools Platform Enablement for MySQL databases,13 months,0
datatools,org.eclipse.datatools.enablement.oda.git,Data Tools Platform Enablement for Open Data Access providers,12 months,0
datatools,org.eclipse.datatools.enablement.oracle.git,Data Tools Platform Enablement for Oracle databases,12 months,0
datatools,org.eclipse.datatools.enablement.postgresql.git,Data Tools Platform Enablement for PostgreSQL databases,13 months,0
datatools,org.eclipse.datatools.enablement.sap.git,Data Tools Platform Enablement for SAP databases,13 months,0
datatools,org.eclipse.datatools.enablement.sqlite.git,Data Tools Platform Enablement for Sqlite databases,13 months,0
datatools,org.eclipse.datatools.enablement.sybase.git,Data Tools Platform Enablement for Sybase databases,13 months,0
datatools,org.eclipse.datatools.incubator.git,Data Tools Platform Incubator,5 years,0
datatools,org.eclipse.datatools.modelbase.git,Data Tools Platform Model Base framework,13 months,0
datatools,org.eclipse.datatools.nl.git,Data Tools Platform Localization,14 months,0
datatools,org.eclipse.datatools.sqltools.git,Data Tools Platform SQL Development Tools,12 months,0
diffmerge,org.eclipse.emf.diffmerge.coevolution.git,"Unnamed repository, edit this file 'description' to name the repository.",5 weeks,0
diffmerge,org.eclipse.emf.diffmerge.core.git,EMF Diff/Merge,5 weeks,1
diffmerge,org.eclipse.emf.diffmerge.patterns.git,Modeling Patterns based on EMF Diff/Merge.,5 weeks,1
dltk,org.eclipse.dltk.all.git,DLTK (All),5 days,1
dltk,org.eclipse.dltk.core.git,dltk.core,5 days,1
dltk,org.eclipse.dltk.examples.git,,18 months,0
dltk,org.eclipse.dltk.javascript.git,,5 days,0
