project_id,project_name,repository_name
123,platform,eclipse.platform.releng.buildtools.git
159,stardust,org.eclipse.stardust.ide.git
159,stardust,org.eclipse.stardust.deploy.jee.git
159,stardust,org.eclipse.stardust.ui.common.git
159,stardust,org.eclipse.stardust.ide.wst.git
194,uomo,org.eclipse.uomo.git
193,usssdk,org.eclipse.usssdk.git
195,viatra,org.eclipse.viatra.git
196,virgo,org.eclipse.virgo.medic.git
196,virgo,org.eclipse.virgo.apps.git
197,webservices,webtools.webservices.git
196,virgo,org.eclipse.virgo.kernel.git
206,websites,dev.eclipse.org.git
206,websites,events.eclipse.org.git
208,xsd,org.eclipse.xsd.git
209,webtools-common,webtools.common.git
196,virgo,org.eclipse.virgo.packaging.git
196,virgo,org.eclipse.virgo.nano.git
196,virgo,org.eclipse.virgo.ide.git
195,viatra,org.eclipse.viatra.modelobfuscator.git
210,windowbuilder,org.eclipse.windowbuilder.git
196,virgo,org.eclipse.virgo.web.git
209,webtools-common,webtools.common.fproj.git
197,webservices,webtools.webservices.axis2.git
211,winery,org.eclipse.winery.git
196,virgo,org.eclipse.virgo.kernel-tools.git
213,xwt,org.eclipse.xwt.git
197,webservices,webtools.webservices.jaxws.git
196,virgo,org.eclipse.virgo.bundlor.git
196,virgo,org.eclipse.virgo.util.git
128,rap,incubator-org.eclipse.rap.incubator.pde.git
128,rap,incubator-org.eclipse.rap.incubator.fileupload.git
128,rap,incubator-org.eclipse.rap.incubator.dropdown.git
